52_1.txt;8915.4;0.46;8751.6;0.27
52_2.txt;8908.0;0.52;8852.8;0.28
52_3.txt;8648.6;0.46;8631.4;0.23
52_4.txt;9227.0;0.53;9076.6;0.32
52_5.txt;9758.5;0.48;9758.5;0.33
52_6.txt;10308.0;0.51;10101.5;0.36
52_7.txt;9695.5;0.43;9662.5;0.29
52_8.txt;10096.5;0.54;10080.0;0.34
52_9.txt;10312.0;0.42;10306.4;0.27
52_10.txt;11198.6;0.64;10952.0;0.37
52_11.txt;10422.6;0.5;10422.6;0.34
52_12.txt;10793.0;0.55;10773.6;0.36
52_13.txt;13664.6;0.52;13369.0;0.35
52_14.txt;12686.2;0.54;12309.8;0.34
52_15.txt;13529.4;0.48;13328.2;0.36
52_16.txt;12346.4;0.55;11909.4;0.36
52_17.txt;14618.0;0.56;14497.5;0.39
52_18.txt;13704.0;0.54;13334.5;0.43
52_19.txt;14267.0;0.52;14004.5;0.34
52_20.txt;13944.5;0.49;13523.5;0.4
52_21.txt;15290.4;0.57;14946.6;0.43
52_22.txt;14144.0;0.52;14122.2;0.33
52_23.txt;14797.6;0.55;14577.6;0.39
52_24.txt;14764.4;0.55;14130.6;0.45
52_25.txt;26687.0;0.47;25992.0;0.38
52_26.txt;23173.6;0.46;21884.4;0.36
52_27.txt;26201.6;0.49;25126.4;0.32
52_28.txt;23653.2;0.47;21494.8;0.33
52_29.txt;27645.0;0.45;27176.0;0.38
52_30.txt;24699.5;0.54;22796.0;0.46
52_31.txt;27397.0;0.51;26808.5;0.37
52_32.txt;24998.0;0.52;23935.0;0.43
52_33.txt;28619.0;0.46;28268.2;0.41
52_34.txt;27631.6;0.42;24975.4;0.42
52_35.txt;27938.8;0.42;27190.0;0.41
52_36.txt;26390.2;0.45;24450.0;0.41
52_37.txt;10884.2;0.34;10768.2;0.21
52_38.txt;12350.0;0.44;12235.6;0.27
52_39.txt;10979.6;0.35;10881.2;0.22
52_40.txt;12186.6;0.43;12102.8;0.27
52_41.txt;12435.5;0.39;12304.0;0.23
52_42.txt;14181.5;0.51;14137.5;0.3
52_43.txt;12528.5;0.38;12469.5;0.21
52_44.txt;13924.0;0.41;13738.0;0.25
52_45.txt;13537.6;0.35;13447.0;0.22
52_46.txt;15375.2;0.45;15064.8;0.24
52_47.txt;13809.6;0.31;13668.0;0.18
52_48.txt;15344.8;0.39;15293.4;0.24
52_49.txt;15974.8;0.34;15850.4;0.25
52_50.txt;16120.2;0.37;15890.4;0.32
52_51.txt;15530.4;0.43;15454.2;0.26
52_52.txt;15516.0;0.4;15369.6;0.24
52_53.txt;17283.0;0.4;16874.5;0.29
52_54.txt;17767.5;0.44;17533.0;0.36
52_55.txt;17102.5;0.4;16715.5;0.29
52_56.txt;17823.0;0.45;17403.5;0.3
52_57.txt;18424.6;0.45;18272.2;0.34
52_58.txt;19012.8;0.44;18968.8;0.28
52_59.txt;18489.6;0.43;18014.0;0.28
52_60.txt;19355.2;0.45;18863.8;0.28
52_61.txt;29112.2;0.44;28101.4;0.31
52_62.txt;26779.2;0.4;25566.6;0.33
52_63.txt;27845.0;0.45;27136.2;0.24
52_64.txt;27125.8;0.42;25208.2;0.36
52_65.txt;30254.5;0.42;29365.0;0.29
52_66.txt;29410.0;0.47;27482.5;0.34
52_67.txt;30051.0;0.44;29141.0;0.33
52_68.txt;29535.0;0.43;27699.5;0.32
52_69.txt;32008.6;0.42;30521.2;0.29
52_70.txt;30756.6;0.48;29317.8;0.42
52_71.txt;31841.6;0.42;31307.4;0.35
52_72.txt;31858.8;0.46;29460.6;0.38
52_73.txt;14545.4;0.26;14468.4;0.14
52_74.txt;18571.8;0.31;18478.8;0.19
52_75.txt;15328.2;0.28;15275.2;0.17
52_76.txt;18768.8;0.32;18305.2;0.18
52_77.txt;19024.5;0.25;18913.5;0.16
52_78.txt;24316.0;0.33;23224.0;0.21
52_79.txt;19147.5;0.27;18882.5;0.2
52_80.txt;24567.5;0.29;23583.5;0.2
52_81.txt;21249.2;0.28;21206.0;0.18
52_82.txt;27857.6;0.28;26995.8;0.22
52_83.txt;21855.8;0.29;21716.0;0.16
52_84.txt;26856.4;0.28;26661.2;0.2
52_85.txt;20345.0;0.23;19876.6;0.17
52_86.txt;23358.4;0.28;23171.4;0.2
52_87.txt;20394.6;0.23;19992.4;0.16
52_88.txt;23284.2;0.25;23027.2;0.17
52_89.txt;23522.0;0.26;23446.0;0.17
52_90.txt;28874.0;0.27;27459.5;0.24
52_91.txt;23603.0;0.25;23571.0;0.16
52_92.txt;27693.5;0.29;27183.5;0.17
52_93.txt;26523.6;0.3;26492.8;0.2
52_94.txt;31453.4;0.27;30791.8;0.19
52_95.txt;27119.4;0.28;26917.8;0.2
52_96.txt;30740.6;0.29;30164.0;0.22
52_97.txt;35483.0;0.26;34075.8;0.15
52_98.txt;35118.6;0.27;34567.4;0.2
52_99.txt;35423.0;0.26;34697.2;0.2
52_100.txt;35220.0;0.29;34286.0;0.21
52_101.txt;38820.0;0.26;36941.0;0.18
52_102.txt;43061.0;0.33;38429.5;0.21
52_103.txt;38115.5;0.28;37336.0;0.2
52_104.txt;39973.5;0.35;38400.0;0.3
52_105.txt;40533.0;0.3;39099.8;0.19
52_106.txt;45220.6;0.34;41933.6;0.23
52_107.txt;39315.8;0.26;38988.2;0.16
52_108.txt;43407.2;0.31;40813.2;0.22
